Notebook Name,Status,Notebook Path,Cell Number,Line in Cell,Message ID,Type,Symbol,Description
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,,,C1102,convention,incorrect-notebook-name,"Notebook name does not follow the required format: nb_(3 digit sub-domain code)_(functional description), all snake-case."
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,3,9,C1101,convention,comment-too-long,Comment line exceeds 72 characters.
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,3,10,C0301,convention,line-too-long,Line too long (94/79)
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,3,15,C0301,convention,line-too-long,Line too long (99/79)
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,5,1,C0301,convention,line-too-long,Line too long (105/79)
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,8,2,C0301,convention,line-too-long,Line too long (130/79)
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,2,1,C0114,convention,missing-module-docstring,Missing module docstring
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,3,7,W0401,warning,wildcard-import,Wildcard import common.common_utils
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,3,12,W0401,warning,wildcard-import,Wildcard import common.common_utils
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,3,15,W0707,warning,raise-missing-from,"Consider explicitly re-raising using 'except ImportError as exc' and 'raise ImportError(""Could not import 'common.common_utils' from any of the provided paths."") from exc'"
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,5,1,E0602,error,undefined-variable,Undefined variable 'vgp_catalog'
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,5,1,E0602,error,undefined-variable,Undefined variable 'btp_std_views'
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,5,2,E0602,error,undefined-variable,Undefined variable 'vgp_catalog'
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,5,2,E0602,error,undefined-variable,Undefined variable 'sot_btp'
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,5,3,E0602,error,undefined-variable,Undefined variable 'spark'
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,8,1,E0602,error,undefined-variable,Undefined variable 'vgp_catalog'
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,8,1,E0602,error,undefined-variable,Undefined variable 'btp_std_views'
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,8,7,W0718,warning,broad-exception-caught,Catching too general exception Exception
btp_view_lpa_mvp2_vw,Non-Compliant,/Workspace/Shared/GasPower/Akshita Grover/btp_view_lpa_mvp2/Gold/btp_view_lpa_mvp2_vw,8,6,E0602,error,undefined-variable,Undefined variable 'spark'
